age,gender,race,span_hisp_latin,marital_status,education_level,active_certification_license,disability,health_status,insurance_coverage_flag,citizenship,birth_country,immigration_period,employed_or_not,worker_class,industry,total_income,taxable_income,poverty_category,child_outside_household,child_support_flag,annual_child_support,household_status,metropolitan_status,state,region,household_income,financial_assistance_flag
37,1,1,2,7,39,2,2,3,2,1,57,0,1,1,10,12000,0,3,2,0,0,5,2,23,1,22727,2
33,1,6,2,1,39,2,2,3,2,1,57,0,1,6,3,50000,0,2,2,0,0,2,2,23,1,50200,2
33,1,1,2,1,40,2,2,2,1,1,57,0,1,1,5,24003,4,1,2,0,0,1,2,23,1,24004,2
29,2,1,2,1,40,2,2,3,1,1,57,0,7,0,0,1,0,1,2,0,0,2,2,23,1,24004,2
34,2,1,2,1,41,1,2,2,1,1,57,0,1,1,10,43560,71900,4,2,0,0,1,2,23,1,95900,2
36,1,1,2,1,41,2,2,1,1,1,57,0,1,1,8,52340,0,4,2,0,0,2,2,23,1,95900,2
35,2,1,2,1,39,2,2,4,1,1,57,0,6,0,0,5202,0,1,2,0,0,1,2,23,1,16901,2
36,1,1,2,1,39,2,1,3,1,1,57,0,5,0,0,11699,0,1,2,0,0,2,2,23,1,16901,2
36,1,1,2,7,43,1,2,2,2,1,57,0,1,6,10,50000,27574,4,2,0,0,1,2,23,1,50000,2
31,2,1,2,1,43,2,2,1,1,1,57,0,7,0,0,0,66001,4,2,0,0,1,2,23,1,90001,2
32,1,1,2,1,43,2,2,1,1,1,57,0,1,1,6,90001,0,4,2,0,0,2,2,23,1,90001,2
33,1,1,2,1,39,2,2,2,2,1,57,0,1,6,3,25300,13000,4,2,0,0,1,2,23,1,37600,1
30,2,3,2,1,39,2,2,2,2,1,57,0,1,1,5,12300,0,4,2,0,0,2,2,23,1,37600,1
38,2,1,2,5,39,2,2,2,1,3,215,9,1,1,12,17240,0,1,2,0,0,1,2,23,1,17240,2
29,2,1,2,1,39,1,2,2,1,1,57,0,1,1,12,40002,0,4,1,2,0,2,2,23,1,82004,2
29,2,1,2,7,40,2,1,3,1,1,57,0,1,1,5,5607,0,1,2,0,0,1,2,23,1,60727,2
24,1,1,2,7,44,2,2,1,1,1,57,0,6,0,0,0,0,4,2,0,0,6,2,23,1,51733,2
