Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,18705580968279.9,19797328543828,21287546487245.2,21576617415930.5,23058015353876.4,25423143053262.9,25639422150893,25252179372496.6,25524634678823.5,26814233824692.6,27378719334198.8,27126858587551.6,28309435380856.1,31694985265732.7,35270402129702.3,37291094821492.5,39335280495120.8,43028311215834.9,45581707001828.5,42671754095125.5,44700096722941.7,48031435437318.6,47962929698263.7,48593346647001,49618767827806.7,46870246743538.3,47772857937119.3,49789810565551.4,52610141097058.8
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,461951782000,602860000000,400599250000,437798577639.752,558111997497.263,769305386182.849,850426432991.742,883199625324.675,863723411632.917,599388579985.673,655420645476.906,559372276081.966,507962487700.024,558319920831.979,669316654017.094,891630177251.068,1107640289615.23,1397084349956.35,1695824565983.2,1667019783585.08,2208871646202.82,2616201578192.25,2465188674415.03,2472806456101.29,2455994050148.75,1802214373741.32,1796275437087.99,2053594973992.61,1868626087908.48
India,IND,GDP (current US$),NY.GDP.MKTP.CD,320979034101.132,270105348343.706,288208437278.741,279296029670.677,327275591371.343,360281961338.465,392897063750.676,415867763815.89,421351487589.808,458820428317.587,468394948471.616,485441026156.549,514937961192.908,607699299977.15,709148531774.823,820381672147.736,940259892374.501,1216735426855.47,1198895498504.14,1341886699393.18,1675615312693.42,1823049927771.46,1827637859135.7,1856722121394.53,2039127446298.55,2103587813812.75,2290432075123.75,2652551202555.27,2726322616821.31
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,360857912565.966,383373318083.624,426915712711.146,444731282436.762,564324670005.917,734547898220.508,863746717503.789,961603952951.82,1029043097554.08,1093997267271.06,1211346869605.24,1339395718865.3,1470550015081.55,1660287965662.68,1955347004963.27,2285965892360.54,2752131773355.16,3550342425238.25,4594306848763.08,5101702432883.45,6087164527421.24,7551500425597.77,8532230724141.76,9570405758739.79,10438529153237.6,11015542352468.9,11137945669350.6,12143491448186.1,13608151864637.9
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,516814274021.956,517962962962.963,460290556900.726,435083713850.837,395077301248.464,395537185734.854,391724890744.498,404928954191.876,270955486862.442,195907128350.934,259710142196.943,306602070620.5,345470494417.863,430347770733.155,591016690742.937,764017107993.346,989930542278.684,1299705764824.48,1660846387626,1222644282200.48,1524917468442.6,2051661732059.47,2210256976944.74,2297128039058.16,2059984158384.6,1363594369511.4,1282723881083.71,1578624060588.26,1657553765580.67
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,115552349035.441,123942759156.416,134544563096.782,134308050011.809,139752515748.806,155460927990.383,147606294673.67,152587423868.182,137774755609.072,136632320704.653,136361298082.061,121514929265.918,115481857072.743,175255777923.458,228590292804.185,257771562353.152,271636512521.322,299416992590.164,286769029768.392,295937388335.714,375348316917.75,416417032178.542,396329389720.235,366644891407.353,350637643679.195,317415623434.305,296340945652.684,349268114386.875,368288203086.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
